"","CID","maxlatency","mean_latency","mean_time_retrieve","mean_time_compute","time_add_IPFS","mean_time_pubsub"
"1","QmNMiHWUepzD9WCMnUYqNsdqHMSKofqgEiedptDa69VYqo",299,233.25,54040662.5,60644,176415232,2.7334615
"2","QmNUsqbTSPMuvyvWSvuJ4KRJebsmzByuLNM1Zm1fi7NTHq",251,189.25,54992378.25,48549,131874560,2.33451274999999
"3","QmQaAx6QEEk8u7S6KJnUWKwMzMaCqYSJZ9VZGL2BG43eu3",276,220.25,58602614.25,54835,159063704,2.52884674999999
"4","QmR1Wy2Kk9YTDCvEQgUCquHBDvJZ3CATMmjKfjpXFv6FkS",205,174.5,44832478.75,60209.25,126470665,3.136647
"5","QmSkxGksVCawMB17aZEmfqTcB6vvBbS2cteX2e8y7WXps1",242,171.75,52099057.5,58049.75,117844353,1.74853975
"6","QmUJ8xwxh8RUcXuQkBwtpSfL7HFF28A1JtKk6nZKqPEfu8",261,208.75,52295296.5,68578.5,154301437,2.08468800000001
"7","QmUvJDgvqoju6cCZZwS1r1zcYjc1jRKFzjWx4LmEq9JzKT",205,167.25,46739998.5,59164,117941901,2.5089365
"8","QmVMcUKJKtV7STtrZkjoHeWeydg5idpAVR6TdD2PjSL8Tb",249,210,47505542.75,65140,159866679,2.56263825000001
"9","QmZ685BKCJXvFuJvfxa1okYfeb5tVRygyBqxGAR7Wq7LQK",254,196.5,50291264.25,49086,143626147,2.53350275
"10","QmZnoKAFAv7T2iWtPLcrmoPhB9MBmSX76V6NJMvwKnZmsA",946,547.25,424689243,72608.75,119546863,2.94128524999999
