"","CID","maxlatency","mean_latency","mean_timeRetrieve","mean_timeSend","mean_time_pubsub"
"1","Qmb4muJYNTAN81K1opkyw64gcTi4dm7FqFGGBy29AUvJkS",441,297.428571428571,92479794.6326531,201953599,2.99517779591837
"2","QmcNJFbbYfoSu7CQMJARfwMY27FTEN7i6ihgMFan72AYhG",468,307.326530612245,93853823.7959184,211312292,2.16041481632653
"3","QmdeUvUv8em52gRPSGazBrVZoDmhjeDA26X8BoF6hhybwA",444,300,93927370.877551,203144626,2.92800312244898
"4","QmdXJWsVGaGU6Y7uf3fJ7Yn13MZd7VQBxxyRKxc3hn8oPV",463,289.061224489796,93329401.6122449,193387146,2.34467687755102
"5","QmfVSe8GMh4Cha7KxxwV4cdBQPrZWZjtvkNuMb65nPqZgF",417,278.469387755102,90402519.0612245,185475207,2.59166169387756
"6","QmPPNMM6HiXVAc4cF1P4dhN4vXCf3DHgziRntnk6do7tp9",457,314.020408163265,92224555.3469388,218695194,3.10065881632653
"7","QmTEX8urRkx2RJ1p3mLwjeKTeVCvJbV1hokWSqUWb1pTxW",1076,635.020408163265,304789688,327772627,2.45809316326529
"8","QmUowJACGfCtiPWXofCyv53fLhKRJVVHiamUqppUGXzMY1",553,307.591836734694,94319764.1020408,211139077,2.13299563265306
"9","QmUxvdM6CQqowWik8yUya2hyC2LE7rGMAABhB1LmuyjZg3",460,312.755102040816,90520284.9591837,219103773,3.13104408163265
"10","QmWQDBbPbAYCuv2v6hoRMYiwtaxZBAD9tvhzsQn2zRHDdR",450,270.979591836735,92152193,176119995,2.7074038367347
